# x_m,y_m,w_tr_right_m,w_tr_left_m
-22.00730426947121,-5.626813921611756,0.75,0.75
-22.157374734873883,-5.807548086158931,0.75,0.75
-22.302768148190808,-5.9882927015423775,0.75,0.75
-22.451250695972703,-6.156096869613975,0.75,0.75
-22.602880195947364,-6.33682754309848,0.75,0.75
-22.76857803267194,-6.534155607223511,0.75,0.75
-22.934288267686497,-6.737026590388268,0.75,0.75
-23.0890688583022,-6.932531401049346,0.75,0.75
-23.236033715540543,-7.118815437890589,0.75,0.75
-23.375224132207222,-7.314355093985796,0.75,0.75
-23.494159701978788,-7.515482967253774,0.75,0.75
-23.61310353630688,-7.720306119415909,0.75,0.75
-23.719591745641083,-7.932547704782337,0.75,0.75
-23.81828073604265,-8.142959075979888,0.75,0.75
-23.907632137881592,-8.360781910363585,0.75,0.75
-23.981397483323235,-8.580487232655287,0.75,0.75
