x_m,y_m,psi_rad,vx_mps,ax_mps2,ay_mps2
-1.203775636058825249e+01,-7.827498683889851927e-01,-3.011353851015408534e+00,6.753464106332158323e+00,-3.731151847710556524e-02,8.422411864111157831e-01
-1.227554664423970543e+01,-8.132585859613826740e-01,-3.015408699344565679e+00,6.729441040372496907e+00,-5.911701961871695943e-02,8.534368043955374850e-01
-1.251488837502835771e+01,-8.432778643158733711e-01,-3.016609571604080386e+00,6.694347086713441364e+00,-8.136798672467282501e-02,9.108772006221076412e-01
-1.275479728791162870e+01,-8.734706550755122478e-01,-3.014528949454395867e+00,6.648073053647824082e+00,-1.035996129721343806e-01,1.009480251290461039e+00
-1.299450211261749644e+01,-9.045494649439254076e-01,-3.009387052974486387e+00,6.590747473741306983e+00,-1.253368689741307662e-01,1.137066211714975683e+00
-1.323356649041844513e+01,-9.371379906946928351e-01,-3.001864873668926403e+00,6.522736184673693316e+00,-1.461156311932221286e-01,1.275255136243725218e+00
-1.347180563091240657e+01,-9.716794744008181439e-01,-2.992820173597988465e+00,6.444631842548084855e+00,-1.655014601684472453e-01,1.404320590669449365e+00
-1.370906395508207787e+01,-1.008405499095917701e+00,-2.982989096771012871e+00,6.357234724505246071e+00,-1.831059974251907363e-01,1.508823245144735203e+00
-1.394502046308693899e+01,-1.047368753635138372e+00,-2.972800053272433907e+00,6.261525845122894118e+00,-1.986013858441504354e-01,1.580822654618970313e+00
-1.417915276323054030e+01,-1.088515261258243383e+00,-2.962376418257400168e+00,6.158633338661095635e+00,-2.117303564258223858e-01,1.619690213330551298e+00
-1.441088325513364943e+01,-1.131764423008621678e+00,-2.951684616705140041e+00,6.049795488697071733e+00,-2.223062775404667235e-01,1.629766713580195869e+00
-1.463980916781489050e+01,-1.177064696643921549e+00,-2.940712568108697855e+00,5.936327061120628912e+00,-2.302064658413911502e-01,1.617841385061449921e+00
-1.486586437728580101e+01,-1.224410613103635859e+00,-2.929563001667118360e+00,5.819589022855680582e+00,-2.353701379035371133e-01,1.591587323225115425e+00
-1.508931550885956341e+01,-1.273827779850219333e+00,-2.918422760340137145e+00,5.700956923217091799e+00,-2.377987575066455861e-01,1.559028324030639734e+00
-1.531061945454291617e+01,-1.325347866617611281e+00,-2.907454397038647276e+00,5.581790265349034996e+00,-2.375505672170277194e-01,1.528455432058039687e+00
-1.553024927738299965e+01,-1.378996105395745797e+00,-2.896694957761298372e+00,5.463406356000064079e+00,-2.347308988391123563e-01,1.508178642310282314e+00
-1.574860911721731327e+01,-1.434807603781628194e+00,-2.886026616343602580e+00,5.347059366509922640e+00,-2.294821757477389923e-01,1.505886339258698303e+00
-1.596606358636942247e+01,-1.492865389629018491e+00,-2.875200266297631035e+00,5.233924180252325087e+00,-2.219749894613576302e-01,1.527752609321777477e+00
-1.618301426836135448e+01,-1.553347236514175833e+00,-2.863860406847215767e+00,5.125084377048565010e+00,-2.124004460512995962e-01,1.577481637025453187e+00
-1.639992375572948546e+01,-1.616559207440423362e+00,-2.851556999781152069e+00,5.021523734201025491e+00,-2.009636760101507491e-01,1.655549342567563587e+00
-1.661725093176207935e+01,-1.682945870332561489e+00,-2.837759485463309694e+00,4.924120701038414261e+00,-1.878784195654770173e-01,1.758714642149838303e+00
-1.683532196851041363e+01,-1.753074492528259976e+00,-2.821893139613790513e+00,4.833645314635548473e+00,-1.733628056548450758e-01,1.879847402598447292e+00
-1.705420248866841959e+01,-1.827601284566987339e+00,-2.803393664186336842e+00,4.750757895383569185e+00,-1.576367764309738462e-01,2.008144300987226405e+00
-1.727361764903568186e+01,-1.907228253216809666e+00,-2.781780546174008162e+00,4.676008538204574627e+00,-1.409213992155500250e-01,2.129861135220593837e+00
-1.749294085118469511e+01,-1.992649546898517698e+00,-2.756763418963199985e+00,4.609836496168019160e+00,-1.234387804465706395e-01,2.229701629118499007e+00
-1.771125740051208908e+01,-2.084482519764506936e+00,-2.728400179043582341e+00,4.552569757758003988e+00,-1.054108204454635711e-01,2.292903897343485653e+00
-1.792751776203188641e+01,-2.183181987597635931e+00,-2.697279331077156783e+00,4.504425675722555589e+00,-8.705760700421638631e-02,2.307843483013102936e+00
-1.814076577977476745e+01,-2.288954529889177802e+00,-2.664632164964288563e+00,4.465512150753787601e+00,-6.859748151780209469e-02,2.268688209761926533e+00
-1.835039143710152487e+01,-2.401703485211255096e+00,-2.632248684746609779e+00,4.435828194204753494e+00,-5.024877884695477803e-02,2.177424988234603287e+00
-1.855630769976981398e+01,-2.521033753020064161e+00,-2.602114064426514606e+00,4.415263371906832823e+00,-3.223196987468313068e-02,2.044570585754531322e+00
-1.875896716215329363e+01,-2.646326385607786769e+00,-2.575846183553652580e+00,4.403596224330070363e+00,-1.477142153096266952e-02,1.888142372918466094e+00
-1.895919066191127200e+01,-2.776857898916357925e+00,-2.554177645142609254e+00,4.400491950375870154e+00,1.903518770339118760e-03,1.730938825232636535e+00
-1.915786738873736539e+01,-2.911921436572446620e+00,-2.536753024793856781e+00,4.405499743100409482e+00,1.755836145865963260e-02,1.596682990271187208e+00
-1.935564361461777239e+01,-3.050912048402538268e+00,-2.522333119789111233e+00,4.418050311834529786e+00,3.195455619684306470e-02,1.505901330418298434e+00
-1.955270866170457822e+01,-3.193361034702052237e+00,-2.509249859013467532e+00,4.437454299297252547e+00,4.485214316817742741e-02,1.472413980609434292e+00
-1.974872641517422878e+01,-3.338927400980016280e+00,-2.495859902240117556e+00,4.462902455002707214e+00,5.601423947812378401e-02,1.501028682546381443e+00
-1.994290160669603296e+01,-3.487368606746604538e+00,-2.480833411133097854e+00,4.493468538775376331e+00,6.521352451202577782e-02,1.586633794347769744e+00
-2.013413276718728184e+01,-3.638512312122523795e+00,-2.463259672186695060e+00,4.528115979514732992e+00,7.224072128355896183e-02,1.714594912103603930e+00
-2.032120098142776499e+01,-3.792243079159861363e+00,-2.442650436149134130e+00,4.565709260058935293e+00,7.691484575000995250e-02,1.862246779964072285e+00
-2.050296083594854224e+01,-3.948505577714569448e+00,-2.418938896881760670e+00,4.605030825264742944e+00,7.909485258061010882e-02,2.001467164647945829e+00
-2.067851020121084815e+01,-4.107309065751719501e+00,-2.392524773056435183e+00,4.644804112639545401e+00,7.869227179546900430e-02,2.102377101371640578e+00
-2.084731632766329312e+01,-4.268706904361208032e+00,-2.364348305869963696e+00,4.683723097060211948e+00,7.568415399067429661e-02,2.138077310062101777e+00
-2.100928402497417125e+01,-4.432732261391779005e+00,-2.335905442962835643e+00,4.720488266630219698e+00,7.012512849662577707e-02,2.089989316507771644e+00
-2.116476860114640246e+01,-4.599309396040636599e+00,-2.309101982969750111e+00,4.753848225556837725e+00,6.215735290388657575e-02,1.952679174498762604e+00
-2.131455354672013058e+01,-4.768197935313291502e+00,-2.285921005738607015e+00,4.782645619534106274e+00,5.201743034923023146e-02,1.736614716000481895e+00
-2.145979983552197723e+01,-4.939019701526192740e+00,-2.267977937839501745e+00,4.805865655906067957e+00,4.003909786093462486e-02,1.467468863979940474e+00
-2.160195629389371419e+01,-5.111372817994624285e+00,-2.256108556109214902e+00,4.822684717395040899e+00,2.665029825829012822e-02,1.181590447968692059e+00
-2.174261315135185413e+01,-5.284974874568116654e+00,-2.250135094494277954e+00,4.832515954164358085e+00,1.236402355300914024e-02,9.188038628101105054e-01
-2.188330503703760854e+01,-5.459762835657037350e+00,-2.248900892596224832e+00,4.835048740948050039e+00,-2.236749641521207366e-03,7.149086631617423970e-01
-2.202530241431252378e+01,-5.635910066490906090e+00,-2.250570238390385835e+00,4.830279204522836878e+00,-1.651932931321820064e-02,5.962560786242045996e-01
-2.216944321600581347e+01,-5.813768280509538755e+00,-2.253062254799683473e+00,4.818529411634831838e+00,-2.982590569430776384e-02,5.774895901480698868e-01
-2.231603269166238590e+01,-5.993768963255735827e+00,-2.254432221501283529e+00,4.800453298828529114e+00,-4.150132985879828595e-02,6.618859111709075593e-01
-2.246480417849772238e+01,-6.176311085018409308e+00,-2.253079652990773507e+00,4.777028081776033552e+00,-5.092262073966580260e-02,8.429173856198268755e-01
-2.261492678610533247e+01,-6.361663595536906968e+00,-2.247777633522166862e+00,4.749530678088863311e+00,-5.752852685051212944e-02,1.106033096206914923e+00
-2.276506377354812116e+01,-6.549916619295069964e+00,-2.237607028762953032e+00,4.719499554925521423e+00,-6.084737787546767862e-02,1.430507224054659243e+00
-2.291350233508581979e+01,-6.741011334455408566e+00,-2.221900614735226487e+00,4.688683300213395633e+00,-6.052150821441504291e-02,1.791613343070357578e+00
-2.305835780958756231e+01,-6.934843029475624476e+00,-2.200267450620577048e+00,4.658978046711106380e+00,-5.632671172530923087e-02,2.163147023837875604e+00
-2.319781204299875199e+01,-7.131383093407670515e+00,-2.172690189928724980e+00,4.632356588488086402e+00,-4.818547823979191236e-02,2.519915347989424514e+00
-2.333031395345171788e+01,-7.330749205015088421e+00,-2.139607634418640991e+00,4.610792568471314468e+00,-3.617315157811784587e-02,2.839714025555546417e+00
-2.345468445779732036e+01,-7.533190255925525491e+00,-2.101889718920750827e+00,4.596183436909968556e+00,-2.051660439214231246e-02,3.104551369058972998e+00
-2.357011412958813423e+01,-7.738998444026300660e+00,-2.060692688585291421e+00,4.590275964079172155e+00,-1.585521557009528237e-03,3.301193245671766530e+00
-2.367609994125031037e+01,-7.948405248424553093e+00,-2.017302773482101852e+00,4.594597915352959028e+00,2.012310993454491381e-02,3.421282835648597143e+00
-2.377238484585074474e+01,-8.161492881538686461e+00,-1.973083471618237272e+00,4.610399074013717069e+00,4.400623699415717738e-02,3.461296802391758298e+00
-2.385894635272116915e+01,-8.378134811538007654e+00,-1.929503031254380385e+00,4.638604152347116205e+00,6.938024702261014198e-02,3.422510706130566849e+00
-2.393603358168532225e+01,-8.597974431412097829e+00,-1.888106754586419855e+00,4.679779321036327211e+00,9.550918674250308271e-02,3.310932968111497399e+00
-2.400421053865794008e+01,-8.820464401829983814e+00,-1.850343619105627724e+00,4.734113339089619288e+00,1.216348380321887745e-01,3.137106330572259516e+00
-2.406435511900393820e+01,-9.044987732319651030e+00,-1.817295106021750151e+00,4.801414159068515985e+00,1.470089864447654548e-01,2.915567862713708713e+00
-2.411758298793775523e+01,-9.271042135551471830e+00,-1.789450954780087866e+00,4.881122325534384743e+00,1.709267662668052523e-01,2.663740845023627291e+00
-2.416510760299752292e+01,-9.498404566726708964e+00,-1.766653670130159393e+00,4.972340925335321238e+00,1.927560294579713229e-01,2.400275263218043964e+00
-2.420808024036234940e+01,-9.727175766338085339e+00,-1.748234686071349131e+00,5.073878354992356066e+00,2.119592294274275091e-01,2.143004468414245522e+00
-2.424746350006137519e+01,-9.957661347004659547e+00,-1.733267870149780343e+00,5.184300154762748747e+00,2.281099051692994095e-01,1.906880620320541508e+00
-2.428396964274062242e+01,-1.019015206263340545e+01,-1.720819707273679500e+00,5.301988260161655475e+00,2.409057730964576649e-01,1.702322546005134773e+00
-2.431806594346139150e+01,-1.042473496770200114e+01,-1.710099873524562275e+00,5.425205927859206412e+00,2.501773556186037695e-01,1.534343034137897632e+00
-2.435002133903716981e+01,-1.066123761040700657e+01,-1.700504137402107707e+00,5.552165615780259245e+00,2.558907641257697207e-01,1.402656345798026338e+00
-2.437997025833493936e+01,-1.089931520143572818e+01,-1.691605323317693976e+00,5.681096691984976133e+00,2.581442522649517457e-01,1.302761977578683839e+00
-2.440797449139799369e+01,-1.113861049512618351e+01,-1.683145891072200140e+00,5.810309868045210990e+00,2.571588680736907051e-01,1.227799590641923899e+00
-2.443407894316736417e+01,-1.137889723133960018e+01,-1.675047538864469665e+00,5.938255560058666838e+00,2.532642167902325880e-01,1.170787540018909612e+00
-2.445835730652942885e+01,-1.162014117769023791e+01,-1.667393971297070232e+00,6.063574084835443578e+00,2.468809137708243284e-01,1.126711939007253971e+00
